,description,book_id
512,"
Poker has taken America by storm. But it's not just any form of poker that has people across the country so excited – it's no-limit hold 'em – the main event game. And now – thanks to televised tournaments – tens of thousands of new players are eager to claim their share of poker glory.In the first volume of this series, Harrington on Hold ‘em: Volume I: Strategic Play,
Poker has taken America by storm. But it's not just any form of poker that has people across the country so excited – it's no-limit hold 'em – the main event game. And now – thanks to televised tournaments – tens of thousands of new players are eager to claim their share of poker glory.In the first volume of this series, Harrington on Hold ‘em: Volume I: Strategic Play, Dan Harrington explained how to play in the early phases of tournaments, when most players at the table have plenty of chips, and the blinds and antes are small. This book, Harrington on Hold ‘em: Volume II: The Endgame shows you how to play in the later phases of a tournament, when the field has been cut down, the blinds and antes are growing, and the big prize money is within sight. Harrington shows you how to make moves, handle tricky inflection point plays, and maneuver when the tournament is down to its last few players and the end is in sight. He’s also included a whole chapter on head-up play, whose strategies up to now have been a closely-guarded secret of the game’s top masters.Dan Harrington won the gold bracelet and the World Champion title at the $10,000 buy-in No-Limit Hold 'Em Championship at the 1995 World Series of Poker. And he was the only player to make it to the final table in 2003 (field of 839) and 2004 (field of 2,576) – considered by cognoscenti to be the greatest accomplishment in WSOP history. In Harrington on Hold 'em, Harrington and 2-time World Backgammon Champion Bill Robertie have written the definitive book on no-limit hold 'em for players who want to win – and win big.
...more
",834
513,"
Poker has taken America by storm. But it s not just any form of poker that has people across the country so excited it s No-Limit Hold Em the main event game. And now thanks to televised tournaments tens of thousands of new players are eager to claim their share of poker glory.Harrington on Hold Em takes you to the part of the game the cameras ignore the tactics required
Poker has taken America by storm. But it s not just any form of poker that has people across the country so excited it s No-Limit Hold Em the main event game. And now thanks to televised tournaments tens of thousands of new players are eager to claim their share of poker glory.Harrington on Hold Em takes you to the part of the game the cameras ignore the tactics required to get through the hundreds and sometimes thousands of hands you must win to make it to the final table. Harrington s sophisticated and time-tested winning strategies, focusing on what it takes to survive the early and middle stages of a No-Limit Hold Em tournament, are appearing here for the first time in print. These are techniques that top players use again and again to get to make it to final tables around the globe. Now, learn from one of the world s most successful No-Limit Hold Em players how to vary your style, optimize your betting patterns, analyze hands, respond to a re-raise, play to win the most money possible, react when a bad card hits and much, much more.Dan Harrington won the gold bracelet and the World Champion title at the $10,000 buy-in No-Limit Hold Em Championship at the 1995 World Series of Poker. And he was the only player to make it to the final table in 2003 (field of 839) and 2004 (field of 2576) considered by cognoscenti to be the greatest accomplishment in WSOP history. In Harrington on Hold Em, Harrington and 2-time World Backgammon Champion Bill Robertie have written the definitive book on No-Limit Hold Em for players who want to win ... and win big.
...more
",835
514,"
'The Good Eye' is a rather vicious story about a couple of really nice college kids in Vermont who fall in love and work to begin their happy lives together - while around them; young women are being abducted and forced to endure unspeakable acts perpetrated by an internet-savvy nutcase and his very classy girlfriend. We meet the villain in the second chapter, engaged in
'The Good Eye' is a rather vicious story about a couple of really nice college kids in Vermont who fall in love and work to begin their happy lives together - while around them; young women are being abducted and forced to endure unspeakable acts perpetrated by an internet-savvy nutcase and his very classy girlfriend. We meet the villain in the second chapter, engaged in his own peculiar brand of villainy, and we discover that for a kidnapping, torturing, rapist-murderer; he's really just a sweet guy who found a way to make a buck doing what he loves. We meet his latest victim as well. Mature Content: explicit sex, rape, violence and language.
...more
",836
515,"
Angelfish is a novel, about a young woman who finds a job, um... 'performing' for the cameras and her admiring internet audience. We call her Annie. The guy she works with; Theo, is a technical and internet wizard (nerd). He thought this all up, and he runs the website - and designs all the cool camera toys that Annie uses in her shows to dazzle her fans. It sounds like
Angelfish is a novel, about a young woman who finds a job, um... 'performing' for the cameras and her admiring internet audience. We call her Annie. The guy she works with; Theo, is a technical and internet wizard (nerd). He thought this all up, and he runs the website - and designs all the cool camera toys that Annie uses in her shows to dazzle her fans. It sounds like great fun; and it is for awhile - but there's a very confused guy out there who manages to figure out where the supposedly safe and anonymous Annie actually lives. This is a problem. Mature content: explicit sex, rape, some violence, language.
...more
",837
516,"
This text covers all the underpinning knowledge and learning outcomes of Edexcel's ICT A-level. The information is presented in realistic work-based contexts which encourage students to develop problem solving and practical skill in ICT.
",839
517,"
Anyone who designs anything to be used by humans -- from physical objects to computer programs to conceptual tools -- must read this book, and it is an equally tremendous read for anyone who has to use anything created by another human. It could forever change how you experience and interact with your physical surroundings, open your eyes to the perversity of bad design
Anyone who designs anything to be used by humans -- from physical objects to computer programs to conceptual tools -- must read this book, and it is an equally tremendous read for anyone who has to use anything created by another human. It could forever change how you experience and interact with your physical surroundings, open your eyes to the perversity of bad design and the desirability of good design, and raise your expectations about how things should be designed.B & W photographs and illustrations throughout.
...more
",840
518,"
Did you ever wonder why cheap wine tastes better in fancy glasses? Why sales of Macintosh computers soared when Apple introduced the colorful iMac? New research on emotion and cognition has shown that attractive things really do work better, as Donald Norman amply demonstrates in this fascinating book, which has garnered acclaim everywhere from Scientific American to The
Did you ever wonder why cheap wine tastes better in fancy glasses? Why sales of Macintosh computers soared when Apple introduced the colorful iMac? New research on emotion and cognition has shown that attractive things really do work better, as Donald Norman amply demonstrates in this fascinating book, which has garnered acclaim everywhere from Scientific American to The New Yorker.Emotional Design articulates the profound influence of the feelings that objects evoke, from our willingness to spend thousands of dollars on Gucci bags and Rolex watches, to the impact of emotion on the everyday objects of tomorrow.Norman draws on a wealth of examples and the latest scientific insights to present a bold exploration of the objects in our everyday world. Emotional Design will appeal not only to designers and manufacturers but also to managers, psychologists, and general readers who love to think about their stuff.
...more
",841
519,"
Even the smartest among us can feel inept as we fail to figure our which light switch or oven burner to turn on, or whether to push, pull, or slide a door. The fault, argues this fascinating, ingenious—even liberating—book, lies not in ourselves, but in product design that ignores the needs of users and the principles of cognitive psychology.The problems range from
Even the smartest among us can feel inept as we fail to figure our which light switch or oven burner to turn on, or whether to push, pull, or slide a door. The fault, argues this fascinating, ingenious—even liberating—book, lies not in ourselves, but in product design that ignores the needs of users and the principles of cognitive psychology.The problems range from ambiguous and hidden controls to arbitrary relationships between controls and functions, coupled with a lack of feedback or other assistance and unreasonable demands on memorization. The book presents examples aplenty—among them, the VCR, computer, and office telephone, all models of how not to design for people.But good, usable design is possible. The rules are simple: make things visible, exploit natural relationships that couple function and control, and make intelligent use of constraints. The goal: guide the user effortlessly to the right action on the right control at the right time. But the designer must care.The author is a world-famous psychologist and pioneer in the application of cognitive science. His aim is to raise the consciousness of both consumers and designers to the delights of products that are easy to use and understand.
...more
",842
520,"
It has been claimed that the natural sciences have abstracted for themselves a 'material world' set apart from human concerns, and social sciences, in their turn, constructed 'a world of actors devoid of things'. While a subject such as archaeology, by its very nature, takes objects into account, other disciplines, such as psychology, emphasize internal mental structures
It has been claimed that the natural sciences have abstracted for themselves a 'material world' set apart from human concerns, and social sciences, in their turn, constructed 'a world of actors devoid of things'. While a subject such as archaeology, by its very nature, takes objects into account, other disciplines, such as psychology, emphasize internal mental structures and other non-material issues. This book brings together a team of contributors from across the social sciences who have been taking 'things' more seriously to examine how people relate to objects. The contributors focus on every day objects and how these objects enter into our activities over the course of time. Using a combination of different theoretical approaches, including actor network theory, ecological psychology, cognitive linguistics and science and technology studies, the book argues against the standard notion of objects and their properties as inert and meaningless and argues for the need to understand the relations between people and objects in terms of process and change.
...more
",843
521,"
""Did you ever wonder why cheap wine tastes better in fancy glasses? Or why washing and polishing your car seems to make it drive better? New research has shown that attractive things really do work better."" ""In the last decade, the design community has made products easier to use, largely due to Donald Norman's The Design of Everyday Things. But as he demonstrates in this
""Did you ever wonder why cheap wine tastes better in fancy glasses? Or why washing and polishing your car seems to make it drive better? New research has shown that attractive things really do work better."" ""In the last decade, the design community has made products easier to use, largely due to Donald Norman's The Design of Everyday Things. But as he demonstrates in this book, we don't just use a product, we become emotionally involved with it. Emotional Design demonstrates for the first time the profound influence of this deceptively simple idea."" Don Norman draws on a wealth of examples and the very latest scientific insights in this exploration of the emotional impacts of objects in our everyday world. His The Design of Everyday Things showed why the products we use should not be confusing, irritating, and frustrating. Emotional Design explains why they must also be attractive, pleasurable, and fun.
...more
",844
522,"
Wire objects have worked their way into virtually every human activity. Since the eighteenth century, such occupations as housekeeping, cooking, gardening, fishing, and hunting were unthinkable without them. Shopkeepers fashioned wire into display racks, and children played with wire toys. Many pieces, such as fruit bowls, platters, and baskets of all kinds served both
Wire objects have worked their way into virtually every human activity. Since the eighteenth century, such occupations as housekeeping, cooking, gardening, fishing, and hunting were unthinkable without them. Shopkeepers fashioned wire into display racks, and children played with wire toys. Many pieces, such as fruit bowls, platters, and baskets of all kinds served both practical and decorative functions. With its vintage photographs, pages from early catalogs, old advertisements, and more than 300 evocative full-color photographs, Wire reveals why there is such a strong revival of interest in these pieces and demonstrates how they can be integrated into our homes today.
...more
",845
523,"
What do things mean? What does the life of everyday objects after the check-out reveal about people and their material worlds? Has the quest for 'the real thing' become so important because the high tech world of total virtuality threatens to engulf us?This pioneering book bridges design theory and anthropology to offer a new and challenging way of understanding the
What do things mean? What does the life of everyday objects after the check-out reveal about people and their material worlds? Has the quest for 'the real thing' become so important because the high tech world of total virtuality threatens to engulf us?This pioneering book bridges design theory and anthropology to offer a new and challenging way of understanding the changing meanings of contemporary human-object relations. The act of consumption is only the starting point in objects' 'lives'. Thereafter they are transformed and invested with new meanings that reflect and assert who we are. Defining design as 'things with attitude' differentiates the highly visible fashionable object from ordinary artefacts that are taken for granted. Through case studies ranging from reproduction furniture to fashion and textiles to 'clutter', the author traces the connection between objects and authenticity, ephemerality and self-identity. But beyond this, she shows the materiality of the everyday in terms of space, time and the body and suggests a transition with the passing of time from embodiment to disembodiment.Shortlisted for the Design History Society Scholarship Prize 2001-2002
...more
",846
524,"
What Really Happened on Sept. 11th and Who Stands to Gain? The government needed a crisis to convince the people to willingly give up their liberty in exchange for safety. This brutal expos documents the ruthless history of governments orchestrating terrorist attacks against their own people to scare them into total submission -- up to the New World Order crime syndicate's
What Really Happened on Sept. 11th and Who Stands to Gain? The government needed a crisis to convince the people to willingly give up their liberty in exchange for safety. This brutal expos documents the ruthless history of governments orchestrating terrorist attacks against their own people to scare them into total submission -- up to the New World Order crime syndicate's involvement in the September 11th attacks. How the controlled press is spinning and whitewashing the 911 story. The cashless society control grid, implantable microchip propaganda, the fact that Posse Comitatus had already been dissolved decades ago, the US government concentration camp plan, how the FBI and FEMA train police that the Founding Fathers and Christians are terrorists, eugenics and, most frightening of all, the New World Order's future plans.... the global elite's goal to dumb down and kill off 80% of the world population. With many photos, graphics, and diagrams.
...more
",847
525,"
Alex Jones was an ""on-fire"" Pentecostal minister in Detroit who was a completely dedicated shepherd of his flock. He greatly loved his people and they loved him. In seeking to give his flock the most genuine experience of the early Church prayer and worship services, he carefully read Scripture, the Fathers of the Church and writings of the early saints. The more he read,
Alex Jones was an ""on-fire"" Pentecostal minister in Detroit who was a completely dedicated shepherd of his flock. He greatly loved his people and they loved him. In seeking to give his flock the most genuine experience of the early Church prayer and worship services, he carefully read Scripture, the Fathers of the Church and writings of the early saints. The more he read, the more Alex came to the startling conclusion that the present day Catholic Church - and the Holy Mass - is the same exact ""worship service "" from the very early Church.Alex began to share his findings with his parish, and eventually Alex, and most of his parish, joined the Catholic Church. This is his incredible story of a black Pentecostal minister's challenging and dramatic spiritual journey, and the flock that followed him. Today he preaches with his usual passion about Christ - as a Catholic deacon!This book tells the story of Alex's life from his childhood all the way to his conversion to Catholicism in 2001. It simultaneously tells the story of his wife, Donna, and her spiritual journey as well, which shows how they were not always on the same path during Alex's preparation for entering the Catholic Church. Each had to be personally, deeply convinced that this momentous, life-changing and career-changing spiritual decision was God's will for them. Illustrated with numerous photos.
...more
",848
526,"
Becky and Dan are teenage newlyweds and parents-to-be, about to start a new life in the apartment they just moved into. The only problem is the relentless techno music pounding through the wall from next door...
",851
527,"
When making life hell for the poor twitching users isn't any fun for the sysadmin, what's a geek to do? Run away to space, of course. Allard's current job is a nightmare. He'll do anything to find another job -- including joining the slightly nutty crew of the Mary Sue, who have an even more malevolent attitude to traditional management structures than he does. The crew
When making life hell for the poor twitching users isn't any fun for the sysadmin, what's a geek to do? Run away to space, of course. Allard's current job is a nightmare. He'll do anything to find another job -- including joining the slightly nutty crew of the Mary Sue, who have an even more malevolent attitude to traditional management structures than he does. The crew and joint owners of the spaceship Mary Sue were looking for an IT expert who shared their political ideals. That's not Allard, but that doesn't bother him as long as he's left out of it. He's just looking for a working environment where he likes the people and the job. He'll be pleased if they like him in return, although he's not betting on it. Now Allard's stuck on a spaceship with another very hunky man-and he's about to discover that even wise-cracking geeks like him have sex lives. And thanks to a voyeuristic crewmate, so are the rest of their sexy shipmates.
...more
",852
528,"
Seven Mansions of Color offers inspirational and practical methods in the use of color in one's daily life. The book focuses on the qualities of the colors. By understanding these qualities you can use this knowledge and apply it to your wardrobe and environment. If you need dynamic power or warmth choose red. Draw on the cooling essence of blue when you want to relax.
",853
529,"
Problems and Solutions Now on three tapes or CDs, popular Pentecostal preacher turned Catholic convert Alex Jones explores the problems and solutions of the Christian life in the inspiring series, A More Perfect Way. With powerful testimony from his personal experience of forty years as a Pentecostal Pastor, Alex Jones reveals how the treasures of the Catholic Church are
Problems and Solutions Now on three tapes or CDs, popular Pentecostal preacher turned Catholic convert Alex Jones explores the problems and solutions of the Christian life in the inspiring series, A More Perfect Way. With powerful testimony from his personal experience of forty years as a Pentecostal Pastor, Alex Jones reveals how the treasures of the Catholic Church are the best-kept secret in our country, and now he wants to share that ""secret"" with the world. In ""Trail of Thorns,"" you'll explore the mystery of suffering and discover, while God does not send suffering, He also doesn't exempt us from suffering. Alex reveals that whether we experience emotional, physical or spiritual pain, our suffering is redemptive because it is in our pain that God identifies with us-and how God is the only One who can take the bad things that happen to us and turn them around. Salt and Light Alex's next presentation is ""The Kiss of Reconciliation."" You'll come to a new appreciation of God's love and forgiveness as Alex uncovers how, in response to God's unconditional love, we are all called to holiness. In fact, he reveals that each Catholic is called to share in Christ's role as prophet, priest and king. You'll discover how, by virtue of our baptism and confirmation, each of us is called to speak for truth; how we share in Jesus' priesthood because we offer our lives as a living sacrifice; and how, wherever we go in leadership, we must lead in righteousness and justice, because God is restoring justice in His church and in His people, and because we are ""God's light and God's salt."" ""Fulfilled Pentecostal"" Finally in""A More Perfect Way,"" you'll begin to see the Sacraments in new ways through the eyes of the self-described ""fulfilled Pentecostal."" Alex powerfully reminds us, ""If you don't believe it, you can't receive it,"" but he insists that salvation does not come through faith alone. Showing how God uses temporal things to communicate grace to His people, Alex Jones delivers a powerful testimony to Sacramental theology through stirring stories from the Bible that demonstrate how faith alone does not save us, rather it is faith received in and through the Sacraments that brings eternal life.
...more
",854
530,"
Life on the farm with aliens and hippidom.
",855
531,"
A National Book Critics Circle Award finalist, The Trust is the ""eye-opening"" biography (Newsweek) the Ochses and the Sulzbergers, the families that have owned and run The New York Times for more than a century.Throughout the tumultuous ""American century,"" a single family has controlled America's newspaper of record, setting the agenda not only for the New York Times but
A National Book Critics Circle Award finalist, The Trust is the ""eye-opening"" biography (Newsweek) the Ochses and the Sulzbergers, the families that have owned and run The New York Times for more than a century.Throughout the tumultuous ""American century,"" a single family has controlled America's newspaper of record, setting the agenda not only for the New York Times but for the nation as well. In a narrative that dramatically, evokes world events, internecine struggles, and both the privilege and the burden of wealth and influence, The Trust reveals for the first time the extraordinary story of one of America's most powerful families. ""A lively, lavishly detailed epic...The authors have the journalist's instinct for telling the right story."" --Ron Chernow, New York Times Book Review
...more
",856
532,"
Book by Cederholm, Dan
",857
533,"
Cascading Style Sheets (CSS) are a powerful way to enrich the presentation of HTML-based web pages, allowing web authors to give their pages a more sophisticated look and more structure. CSS's compact file size helps web pages load quickly, and by allowing changes made in one place to be applied across the entire document, CSS can save hours of tedious changing and
Cascading Style Sheets (CSS) are a powerful way to enrich the presentation of HTML-based web pages, allowing web authors to give their pages a more sophisticated look and more structure. CSS's compact file size helps web pages load quickly, and by allowing changes made in one place to be applied across the entire document, CSS can save hours of tedious changing and updating.But to leverage the full power of CSS, web authors first have to sift through CSS theory to find practical solutions that resolve real-world problems. Web authors can waste hours and earn ulcers trying to find answers to those all-too-common dilemmas that crop up with each project. The ""CSS Cookbook"" cuts straight through the theory to provide hundreds of useful examples and CSS code recipes that web authors can use immediately to format their web pages.The time saved by a single one of these recipes will make its cover price money well-spent. But the ""CSS Cookbook"" provides more than quick code solutions to pressing problems. The explanation that accompanies each recipe enables readers to customize the formatting for their specific purposes, and shows why the solution works, so you can adapt these techniques to other situations. Recipes range from the basics that every web author needs to code concoctions that will take your web pages to new levels.Reflecting CSS2, the latest specification, and including topics that range from basic web typography and page layout to techniques for formatting lists, forms, and tables, it is easy to see why the ""CSS Cookbook"" is regarded as an excellent companion to ""Cascading Style Sheets: The Definitive Guide"" and a must-have resource for any web author who has even considered using CSS.
...more
",859
534,"
This book contains the real estate investment histories of four highly successful individuals. Within this publication, the investors describe the paths they took that resulted in the creation of four separate, self-sustaining real estate empires. Self-sustaining means that the companies they started would continue to flourish without the day-to-day input of the founder.
This book contains the real estate investment histories of four highly successful individuals. Within this publication, the investors describe the paths they took that resulted in the creation of four separate, self-sustaining real estate empires. Self-sustaining means that the companies they started would continue to flourish without the day-to-day input of the founder. To fulfill such a qualification, the founder must have built a company consisting of a group of independent real estate entrepreneurs who are capable of managing and growing the business to the next level of success. The investors contributing to this book have achieved that goal.
...more
",863
535,"
The Alchemist by Paulo Coelho continues to change the lives of its readers forever. With more than two million copies sold around the world, The Alchemist has established itself as a modern classic, universally admired.Paulo Coelho’s masterpiece tells the magical story of Santiago, an Andalusian shepherd boy who yearns to travel in search of a worldly treasure as
The Alchemist by Paulo Coelho continues to change the lives of its readers forever. With more than two million copies sold around the world, The Alchemist has established itself as a modern classic, universally admired.Paulo Coelho’s masterpiece tells the magical story of Santiago, an Andalusian shepherd boy who yearns to travel in search of a worldly treasure as extravagant as any ever found.The story of the treasures Santiago finds along the way teaches us, as only a few stories can, about the essential wisdom of listening to our hearts, learning to read the omens strewn along life’s path, and, above all, following our dreams.
...more
",864
536,"
Paulo Coelho's masterpiece tells the mystical story of Santiago, an Andalusian shepherd boy who yearns to travel in search of a worldly treasure. His quest will lead him to riches far different—and far more satisfying—than he ever imagined. Santiago's journey teaches us about the essential wisdom of listening to our hearts, of recognizing opportunity and learning to read
Paulo Coelho's masterpiece tells the mystical story of Santiago, an Andalusian shepherd boy who yearns to travel in search of a worldly treasure. His quest will lead him to riches far different—and far more satisfying—than he ever imagined. Santiago's journey teaches us about the essential wisdom of listening to our hearts, of recognizing opportunity and learning to read the omens strewn along life's path, and, most importantly, to follow our dreams.
...more
",865
537,"
Ed, Al and Winry return to Central Command, but only bad news greets the Fullmetal Alchemist and his friends. Lieutenant Colonel Maes Hughes has been murdered - and Second Lieutenant Maria Ross is the prime suspect! While Maria awaits an uncertain fate in jail, the living suit of armor bearing the soul of serial killer ""Berry the Chopper"" breaks free of the military and
Ed, Al and Winry return to Central Command, but only bad news greets the Fullmetal Alchemist and his friends. Lieutenant Colonel Maes Hughes has been murdered - and Second Lieutenant Maria Ross is the prime suspect! While Maria awaits an uncertain fate in jail, the living suit of armor bearing the soul of serial killer ""Berry the Chopper"" breaks free of the military and goes on a rampage. Now, the mysterious Homunculi must come out of the shadows to deal with the mess before their monstrous conspiracy is exposed. But for Colonel Mustang, Maes Hughes's former best friend, it's not about the truth; it's about revenge...
...more
",866
538,"
Secrets of the Alchemist Dar, the sequel to the New York Times bestselling A Treasure's Trove, is a fantasy story about Dark and Good Fairies, spells and eclipses, and Michael Stadther's signature characters: Zac the handsome woodcarver, Ana his beautiful half-elf half human wife, and their trusty doth, Pook. The story is also about the evil Alchemist Dar who wants his
Secrets of the Alchemist Dar, the sequel to the New York Times bestselling A Treasure's Trove, is a fantasy story about Dark and Good Fairies, spells and eclipses, and Michael Stadther's signature characters: Zac the handsome woodcarver, Ana his beautiful half-elf half human wife, and their trusty doth, Pook. The story is also about the evil Alchemist Dar who wants his Dark Fairies to live forever; to do this he must steal the Good Fairies' Rings of Fairy Life. Using the mysterious Book of Dark Spells, Dar kills the Good Fairies and captures the rings. The mystery begins with clues concealed in the pages of this book that will give anyone anywhere in the world who can read English a chance to solve the clues and obtain one of the one hundred real diamond rings valued together at more than US $2 million. Armchair adventurers will discover the treasure-hunting experience of a lifetime, andfamilies will enjoy hours of reading together.
...more
",867
539,"
In an alchemical ritual gone wrong, Edward Elric lost his arm and his leg, and his brother Alphonse became nothing but a soul in a suit of armor. Equipped with mechanical ""auto-mail"" limbs, Edward becomes a state alchemist, seeking the one thing that can restore his and his brother's bodies...the legendary Philosopher's Stone.The raid on the Devil's Nest becomes a
In an alchemical ritual gone wrong, Edward Elric lost his arm and his leg, and his brother Alphonse became nothing but a soul in a suit of armor. Equipped with mechanical ""auto-mail"" limbs, Edward becomes a state alchemist, seeking the one thing that can restore his and his brother's bodies...the legendary Philosopher's Stone.The raid on the Devil's Nest becomes a slaughter, as government troops - led by the Fuhrer President himself, King Bradley - exterminate the half-human forces of the Homunculus Greed. But will Ed and Al survive the battle unchanged? As Greed is sent to meet his maker, foreign travelers arrive in Amestris, having crossed the great desert from the eastern country of Xing. Their names are Mei and Ling, and they've come for the Philosopher's Stone...and a secret even the Elric brothers never imagined...
...more
",869
540,"
Alchemy: the mystical power to alter the natural world; something between magic, art and science. When two brothers, Edward and Alphonse Elric, dabbled in this power to grant their dearest wish, one of them lost an arm and a leg...and the other became nothing but a soul locked into a body of living steel. Now Edward is an agent of the government, a slave of the
Alchemy: the mystical power to alter the natural world; something between magic, art and science. When two brothers, Edward and Alphonse Elric, dabbled in this power to grant their dearest wish, one of them lost an arm and a leg...and the other became nothing but a soul locked into a body of living steel. Now Edward is an agent of the government, a slave of the military-alchemical complex, using his unique powers to obey orders...even to kill. Except his powers aren't unique. The world has been ravaged by the abuse of alchemy. And in pursuit of the ultimate alchemical treasure, the Philosopher's Stone, their enemies are even more ruthless than they are...
...more
",870
541,"
Trapped and injured in a secret alchemical laboratory, Edward Elric is at the mercy of his enemies, Lust and Envy. But they don't want him dead...they have other plans for him. As the laboratory goes up in flames, the brothers find themselves back at square one, with only an inkling of the massive scale of the Philosopher's Stone conspiracy. But then, Lieutenant Colonel
Trapped and injured in a secret alchemical laboratory, Edward Elric is at the mercy of his enemies, Lust and Envy. But they don't want him dead...they have other plans for him. As the laboratory goes up in flames, the brothers find themselves back at square one, with only an inkling of the massive scale of the Philosopher's Stone conspiracy. But then, Lieutenant Colonel Maes Hughes uncovers a shocking secret...
...more
",871
542,"
Since its publication in 1993, Paulo Coelho's magical novel has enchanted millions of readers around the globe. Now, the following is sure to grow with the release of this stunning edition featuring 35 illustrations from renowned artist Moebius.The Alchemist follows Santiago, a Spanish shepherd boy who leaves his home in search of treasure. What he discovers - about
Since its publication in 1993, Paulo Coelho's magical novel has enchanted millions of readers around the globe. Now, the following is sure to grow with the release of this stunning edition featuring 35 illustrations from renowned artist Moebius.The Alchemist follows Santiago, a Spanish shepherd boy who leaves his home in search of treasure. What he discovers - about himself and life - as he travels over the continents to the alchemist is more rewarding than any object he ever dreamed of.
...more
",872
543,"
Discusses the novel, The Kite Runner.
",876
544,"
The Kite Runner, by Afghanistan-born, American Khaled Hosseini, confronts readers with sometimes difficult truths and deep moral issues of loyalty, kinship and faith. Amir and Hassan are inseparable childhood friends in Afghanistan, though Amir is the son of a rich man and Hassan is a lower caste servant. Amir betrays his friend with catastrophic results, but years later
The Kite Runner, by Afghanistan-born, American Khaled Hosseini, confronts readers with sometimes difficult truths and deep moral issues of loyalty, kinship and faith. Amir and Hassan are inseparable childhood friends in Afghanistan, though Amir is the son of a rich man and Hassan is a lower caste servant. Amir betrays his friend with catastrophic results, but years later he finds a way to redeem his guilt. Written by an experienced teacher, this guide offers you background notes on the writer and the events in Afghanistan, as well as on the genre, structure and style of the text. You are given a storyboard synopsis of the novel, then taken through it chapter by chapter, with key quotes highlighted and teacher explanations to draw out the sub text. To extend your understanding and interpretation, this guide also includes comprehensive notes on characters, themes, advice on writing an exam answer, and two full length A+ essays on the text.
...more
",877
545,"
When Maudie Todhunter finally decides she must sell Moorgate, her beautiful farmhouse on the edge of Bodmin Moor, she anticipates strong objections from her family - particularly from Selina, her stepdaughter, with whom she has never seen eye to eye. But no one could have predicted the feelings that Moorgate evokes or the consequences...
",878
546,"
Illus. in full color. ""The drama of natural disasters provides prime material to entice young independent readers. In this volume, the account of the eruption of Mount Vesuvius describes village life 2,000 years ago, the eruption itself and its aftermath, and the excitement when the buried town is rediscovered centuries later. A lively and factual glimpse of a devastating
Illus. in full color. ""The drama of natural disasters provides prime material to entice young independent readers. In this volume, the account of the eruption of Mount Vesuvius describes village life 2,000 years ago, the eruption itself and its aftermath, and the excitement when the buried town is rediscovered centuries later. A lively and factual glimpse of a devastating moment in history, in an accessible, attractive package.""--Publishers Weekly.  
...more
",881
547,"
Using the latest scientific research, this multi-disciplinary journey explores everything from painting styles to local history, botany and architecture. It investigates public life, religious life, the economy, and the private arena. A special section is devoted to the eruption of 79 AD, described based on the most recent discoveries, and another section takes a look at
Using the latest scientific research, this multi-disciplinary journey explores everything from painting styles to local history, botany and architecture. It investigates public life, religious life, the economy, and the private arena. A special section is devoted to the eruption of 79 AD, described based on the most recent discoveries, and another section takes a look at Oplontis, the most celebrated villa in the suburbs of Pompeii - and legendarily owned by Poppea Sabina, Nero's second wife. An updated bibliography and a chronological outline conclude this journey back in time.This book was done with the collaboration of the Archaeological Superintendency of Pompeii and the Superintendency for Archaeological Heritage of Naples and Caserta.
...more
",882
548,"
The famous eruption of Mount Vesuvius that snuffed out life in Pompeii and buried the town has long been a fascinating moment in history for children. This book presents that dramatic story with Mary Pope Osborne’s brief text and with stunning frescoes created by Bonnie Christensen, using the same colors, style, and technique as the ancient frescoes unearthed at Pompeii.
The famous eruption of Mount Vesuvius that snuffed out life in Pompeii and buried the town has long been a fascinating moment in history for children. This book presents that dramatic story with Mary Pope Osborne’s brief text and with stunning frescoes created by Bonnie Christensen, using the same colors, style, and technique as the ancient frescoes unearthed at Pompeii. In addition to the destruction of Pompeii and the rediscovery of the ruins nearly 1,700 years later, the book shows what daily life was like in this prosperous Roman town in the year 79 A.D.
...more
",883
549,"
A look at this fabled city--buried beneath a rain of ash and cinder during the eruption of Mount Vesuvius in 79 AD--includes the Porta Marina, one of the best preserved gates to the city, as well as the Forum, tmple of Apollo, and several public walkways and private villas.
",884
550,"
A twenty-first century woman is stranded in first century Pompeii when a time travel experiment goes awry; she is sold to a wealthy family as a house slave. This provides her with an intimate, upstairs/downstairs perspective on household life in ancient times. At first she does menial work, but she improves her situation by telling stories and making prophecies. As her
A twenty-first century woman is stranded in first century Pompeii when a time travel experiment goes awry; she is sold to a wealthy family as a house slave. This provides her with an intimate, upstairs/downstairs perspective on household life in ancient times. At first she does menial work, but she improves her situation by telling stories and making prophecies. As her influence grows, she wins the love of her master and his daughter and provokes the vengeful jealousy of his wife.In this gentle fable about the power of stories to change people's lives, the heroine uses sources that include fairy tales and great works of literature to argue for women’s rights and the humanity of slaves, and to inspire herself and others to be resourceful, courageous and independent. Miranda's own life becomes as mythic as the stories she tells. In a narrative that is part adventure, part romance, and part fantasy, the heroine triumphs over adversity and makes a place for herself in the world of the past.Visit the companion web site at www.rebecca-east.com to see ancient works of art that inspired the descriptions of characters and settings.
...more
",885
